distance_m,fspl_dB,umi_pathloss_dB,tx_height_m,f3_polygon_count,los_intersection_count,dist_to_first_intersection_m,dist_to_last_intersection_m,is_los,fresnel3_obstr_poly_area,los_obstr_poly_area,f1_polygon_count,fresnel1_obstr_poly_area,tx_sphere_poly_count,tx_sphere_obstr_poly_area,avg_tx_clutter_height,rx_sphere_poly_count,rx_sphere_obstr_poly_area,avg_rx_clutter_height,pointnet_prediction,measured_pathloss_dB
705.2980851,106.3194149,109.1177876,51.1,38,0,-1,-1,1,286.8661974,0,8,26.56515525,604,40867.42223,33.3594368,97,3911.391694,9.220398279,140,141.0312042
701.7690974,106.2758456,109.0720398,51.1,32,4,281.090308,281.9063829,0,326.7039856,88.16336531,8,66.7759689,604,40867.42223,33.3594368,97,4937.443673,10.75375444,140,150.1312714
698.2580778,106.2322802,109.0262961,51.1,21,4,277.8043843,282.5384928,0,319.7332848,127.2356523,8,108.3900236,604,40867.42223,33.3594368,103,6018.59797,11.0893252,140,149.8421021
694.7652988,106.1887232,108.9805613,51.1,21,4,274.5695402,283.1873109,0,341.8910018,140.8013901,0,0,604,40867.42223,33.3594368,134,7332.201589,11.66528568,140,149.5601044
691.2910369,106.1451793,108.9348402,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,136,8611.825367,13.51681374,140,149.2847595
687.8355726,106.1016534,108.8891381,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,136,9849.34873,14.52364966,140,149.0156403
684.3991906,106.0581505,108.84346,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,129,12038.23981,17.13905979,140,148.7523956
680.9821799,106.0146757,108.7978115,51.1,33,2,262.1231842,262.1231842,0,403.8981279,74.91255535,0,0,604,40867.42223,33.3594368,131,13892.17366,17.13227379,140,164.0662994
677.5848334,105.9712343,108.752198,51.1,58,8,259.1306215,493.8204342,0,825.3126252,242.8605449,10,24.26851618,604,40867.42223,33.3594368,134,15436.9721,16.91650893,140,163.8527679
605.6105862,104.99583,107.7280234,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,81,22074.61684,25.55907896,140,160.7162781
602.7840901,104.9551964,107.6853582,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,67,19883.44564,28.47716607,140,165.1417542
599.9859469,104.9147824,107.6429234,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,71,18089.7389,25.67709592,140,159.1705322
597.2165551,104.8745976,107.6007294,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,52,16456.94682,29.02900378,140,171.5183868
548.5044738,104.1355643,106.8247445,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,136,28244.62107,22.39820423,140,157.904541
546.4353895,104.1027372,106.790276,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,163,30778.46083,23.05078655,140,161.5463562
544.4043646,104.0703928,106.7563144,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,232,35037.59738,21.91141623,140,161.5656738
542.4118263,104.0385438,106.722873,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,266,38910.72367,22.06068034,155,153.2466125
540.4582006,104.007203,106.6899651,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,332,43353.44527,20.81751141,155,156.6593933
538.5439107,103.9763832,106.6576043,51.1,26,0,-1,-1,1,2.341783659,0,0,0,604,40867.42223,33.3594368,394,48607.41342,20.31638814,155,157.0654602
536.6693777,103.9460971,106.6258039,51.1,39,6,408.5431748,409.148487,0,193.7117745,60.14142599,28,68.55802077,604,40867.42223,33.3594368,440,53527.1503,20.9140215,155,156.8185577
534.8350196,103.9163575,106.5945774,51.1,48,10,311.5181173,438.3684948,0,255.1230938,149.2844618,0,0,604,40867.42223,33.3594368,547,59613.37402,20.549574,155,156.9602203
533.0412511,103.8871772,106.563938,51.1,86,10,413.4777819,443.1122216,0,482.683716,102.9804937,10,29.64623893,604,40867.42223,33.3594368,673,65817.66418,20.42335625,155,156.4160767
531.2884834,103.8585688,106.5338992,51.1,98,2,432.7430389,432.7430389,0,297.7163952,31.07811736,46,59.47677202,604,40867.42223,33.3594368,743,70462.39006,21.07340938,155,161.1915436
516.1029205,103.6066871,106.2694235,51.1,124,8,260.2560139,428.2864385,0,514.4096826,113.3967528,69,28.40645061,604,40867.42223,33.3594368,1719,89082.14826,16.09336411,155,170.2880859
510.1809587,103.5064457,106.16417,51.1,46,4,370.6822923,370.6822923,0,194.516398,19.01006942,35,68.06854155,604,40867.42223,33.3594368,1871,86560.33683,16.66194404,155,166.6543427
508.1373485,103.4715831,106.1275643,51.1,76,0,-1,-1,1,134.2429478,0,0,0,604,40867.42223,33.3594368,1725,82597.48944,16.7121988,155,160.1140747
507.1863979,103.4553128,106.1104804,51.1,47,4,115.966503,116.1380632,0,130.0518691,37.70877097,37,21.95522726,604,40867.42223,33.3594368,1658,80507.04236,16.68762077,155,158.4053955
506.2830428,103.4398284,106.0942218,51.1,68,4,115.3513963,118.2194065,0,162.604891,65.74483129,11,0.119568817,604,40867.42223,33.3594368,1589,79053.87381,16.99412964,155,157.345459
505.4275384,103.4251388,106.0787977,51.1,68,10,114.75148,425.3996885,0,367.1424438,150.9316526,16,41.85875726,604,40867.42223,33.3594368,1543,77968.96444,17.13702268,155,158.0617371
501.3121381,103.3541252,106.0042334,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,1277,70275.30251,18.33252399,155,143.5151367
500.7977007,103.3452073,105.9948697,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,1227,70488.96723,19.11406538,155,151.4218292
500.3327035,103.3371386,105.9863975,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,1160,70896.4317,19.32376989,155,159.3090668
499.2356616,103.3180728,105.9663784,51.1,8,0,-1,-1,1,2.267706268,0,0,0,604,40867.42223,33.3594368,887,70161.71327,22.63347103,135,160.2119598
498.9696614,103.3134436,105.9615177,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,807,66716.71602,23.66193962,135,157.8220215
498.7536468,103.3096825,105.9575686,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,703,62435.36647,24.6227092,135,156.5990295
498.5876828,103.3067917,105.9545333,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,647,58303.62872,25.4801924,135,154.3148499
498.4718193,103.304773,105.9524136,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,602,55131.79905,25.94566386,135,159.8535004
498.4060913,103.3036276,105.951211,51.1,8,2,107.1290782,107.1290782,0,42.34991734,27.00919505,0,0,604,40867.42223,33.3594368,543,52672.50934,26.98790027,135,159.184967
498.5098428,103.3054356,105.9531093,51.1,17,2,107.4824797,107.4824797,0,133.6151566,52.98219218,8,28.86740677,604,40867.42223,33.3594368,533,45828.79684,25.88190783,135,142.0612946
498.6447038,103.307785,105.9555762,51.1,24,2,111.1740305,111.1740305,0,156.4383522,52.52533448,17,54.28108409,604,40867.42223,33.3594368,518,44261.21979,25.64930598,135,134.6698151
498.8296481,103.311006,105.9589582,51.1,37,4,112.024395,112.024395,0,189.571653,38.38154609,13,23.52795578,604,40867.42223,33.3594368,484,41375.53481,24.35939422,135,146.0933533
499.0646201,103.3150965,105.9632532,51.1,33,4,111.6615671,111.6615671,0,210.3599843,37.13918712,13,23.60411109,604,40867.42223,33.3594368,426,38266.1536,23.10062683,135,145.8428802
499.3495491,103.320054,105.9684587,51.1,29,8,115.386918,123.716775,0,281.2242196,181.3306035,13,18.31423361,604,40867.42223,33.3594368,322,32776.99696,24.07386177,135,145.9156952
499.6843498,103.3258757,105.9745715,51.1,29,6,119.8869077,120.6409376,0,244.9960841,129.7691342,0,0,604,40867.42223,33.3594368,256,30288.42807,24.54017113,135,145.8417511
500.0689219,103.3325581,105.981588,51.1,13,0,-1,-1,1,80.58620984,0,0,0,604,40867.42223,33.3594368,213,29708.69941,26.17923108,135,136.3369446
500.5031507,103.3400971,105.9895039,51.1,13,0,-1,-1,1,17.49856893,0,0,0,604,40867.42223,33.3594368,211,30911.53872,26.65150275,135,137.2093353
500.986907,103.3484883,105.9983147,51.1,0,0,-1,-1,1,0,0,0,0,604,40867.42223,33.3594368,256,30659.25477,23.55544636,135,136.8917236
507.5413046,103.4613886,106.11686,51.1,22,4,388.6684604,394.1828978,0,129.6049537,25.86868268,22,68.80282749,604,40867.42223,33.3594368,1259,71159.88921,16.67911763,135,141.5127716
508.510229,103.4779547,106.1342544,51.1,42,4,388.293808,393.8029299,0,151.7515482,38.88429362,18,56.05905314,604,40867.42223,33.3594368,1327,73929.47078,16.87594589,135,153.6592865
511.6992131,103.5322558,106.1912705,51.1,56,8,225.8532726,252.3392899,0,662.0785054,118.2524637,22,75.00230947,604,40867.42223,33.3594368,1610,82730.09311,17.35140548,135,135.6179047
515.3052651,103.5932524,106.255317,51.1,118,8,100.2887844,343.9107301,0,960.8866683,98.44215587,28,80.0288182,604,40867.42223,33.3594368,1651,81751.45479,16.89644698,135,143.2734375
516.5984838,103.6150233,106.2781765,51.1,199,16,100.2291688,343.7740914,0,1169.167269,190.9686213,53,102.6687857,604,40867.42223,33.3594368,1664,81453.93593,16.91125511,135,137.855835
517.9367439,103.6374952,106.301772,51.1,246,22,100.1786331,343.6179271,0,1736.371992,237.2944925,122,409.3239223,604,40867.42223,33.3594368,1666,80353.93195,16.78371933,135,135.7037659
522.2182516,103.7090017,106.3768538,51.1,74,10,100.4826865,266.6297893,0,883.0145559,78.56106991,38,148.3395918,604,40867.42223,33.3594368,1388,75930.45949,18.58240189,135,136.0197601
