distance_m,fspl_dB,umi_pathloss_dB,tx_height_m,f3_polygon_count,los_intersection_count,dist_to_first_intersection_m,dist_to_last_intersection_m,is_los,fresnel3_obstr_poly_area,los_obstr_poly_area,f1_polygon_count,fresnel1_obstr_poly_area,tx_sphere_poly_count,tx_sphere_obstr_poly_area,avg_tx_clutter_height,rx_sphere_poly_count,rx_sphere_obstr_poly_area,avg_rx_clutter_height,pointnet_prediction,measured_pathloss_dB
707.4148575,87.50528328,90.30495745,70.3,207,14,168.3864055,668.9628099,0,7096.492082,1603.713436,112,1943.742652,87,19942.19324,51.0390814,614,36237.57342,27.50590321,120,154.9723969
703.9180139,87.46224133,90.25976341,70.3,212,20,168.1354444,672.8445483,0,7467.087016,1838.870731,144,2801.772852,87,19942.19324,51.0390814,574,35246.88575,27.56783914,120,152.7028809
700.439405,87.41921115,90.21458172,70.3,244,24,167.8871062,671.562374,0,8010.36513,2132.205628,137,3247.104621,87,19942.19324,51.0390814,576,34645.27876,27.12264032,120,153.9368744
696.9793037,87.37619738,90.16941727,70.3,290,32,167.6414842,668.4109248,0,9317.707494,2761.18538,140,3468.533161,87,19942.19324,51.0390814,572,34531.23406,27.12382931,120,149.4430847
693.537987,87.33320481,90.12427507,70.3,284,40,167.3986737,667.2660907,0,9934.329037,2973.748938,100,2729.580622,87,19942.19324,51.0390814,547,34667.72699,27.48837155,120,155.5679626
690.1157361,87.29023835,90.07916028,70.3,261,14,167.1587724,666.4252274,0,7922.195538,1650.816827,76,1746.651383,87,19942.19324,51.0390814,501,34615.89648,28.79801502,120,147.3519287
686.7128358,87.24730304,90.03407821,70.3,194,8,166.9218806,631.8614387,0,6912.722915,1373.72695,79,1290.21631,87,19942.19324,51.0390814,546,35333.49344,26.90376186,120,159.690979
683.3295754,87.2044041,89.98903432,70.3,209,10,166.6881007,636.9828214,0,7219.432379,692.0341054,25,909.1420007,87,19942.19324,51.0390814,517,36004.8661,25.95535483,120,156.7714539
679.9662479,87.16154686,89.94403421,70.3,205,10,166.4575376,639.1655208,0,7110.62524,647.0141871,29,1087.795465,87,19942.19324,51.0390814,546,35544.10389,24.39412321,120,159.0888672
676.6231506,87.1187368,89.89908365,70.3,193,12,166.2302989,650.1833447,0,8020.346074,1047.118064,47,1294.208475,87,19942.19324,51.0390814,589,35798.04303,22.6770202,120,151.5626984
673.3005849,87.07597958,89.85418857,70.3,178,22,166.0064946,660.6875294,0,8821.152592,1790.744419,57,1537.050462,87,19942.19324,51.0390814,589,36166.96275,22.00295279,120,144.5048065
